uniprot_id,gene,embed_paratope,embed_wholeFv,naive_cdr_identity,biophys_hydrophobicity,biophys_charge,biophys_length,annotation_receptor_prior,is_positive
A6NDL8,OR6C68,0.6069117784500122,0.6634242534637451,0.375,0.6897435897435897,10.7,312,1,0
A6NDP7,MYADML2,0.7740939855575562,0.710563063621521,0.4444444444444444,0.7957654723127036,8.5,307,0,0
A6NDV4,TMEM8B,0.8257142901420593,0.7854269742965698,0.375,0.3256355932203391,6.0,472,0,0
A6NET4,OR5K3,0.6488758325576782,0.6949194073677063,0.375,0.5981308411214955,4.9,321,1,0
A6NF34,ANTXRL,0.827594518661499,0.8085957169532776,0.375,-0.3158478605388267,19.199999999999996,631,1,0
A6NF89,OR6C6,0.6060594320297241,0.6645276546478271,0.4444444444444444,0.7149681528662426,9.4,314,1,0
A6NFA1,TRABD2B,0.8219544887542725,0.7835191488265991,0.375,-0.3717601547388777,-5.300000000000001,517,0,0
A6NFC5,TMEM235,0.8117926120758057,0.7852277755737305,0.375,0.7973094170403591,-4.400000000000002,223,0,0
A6NFX1,MFSD2B,0.7676498889923096,0.7335686087608337,0.5,0.5170634920634922,13.099999999999996,504,0,0
A6NGU5,GGT3P,0.6885849237442017,0.6875837445259094,0.3333333333333333,0.04876760563380252,-0.6999999999999997,568,0,0
A6NGY5,OR51F1,0.6475822925567627,0.6999197602272034,0.375,0.7407523510971791,4.000000000000002,319,1,0
A6NH00,OR2T8,0.5580228567123413,0.6461290121078491,0.4444444444444444,0.5791666666666668,7.199999999999999,312,1,0
A6NH21,SERINC4,0.8188213109970093,0.7756322026252747,0.3333333333333333,0.4716216216216224,15.899999999999993,518,0,0
A6NHA9,OR4C46,0.5709555149078369,0.6412531137466431,0.3333333333333333,0.7912621359223311,4.000000000000001,309,1,0
A6NHG9,OR5H14,0.6386600732803345,0.6861938238143921,0.375,0.7561290322580649,5.6,310,1,0
A6NHS7,MANSC4,0.831649899482727,0.7790979146957397,0.375,-0.2958823529411766,4.8999999999999995,340,0,0
A6NI73,LILRA5,0.869419515132904,0.9056198596954346,0.4444444444444444,-0.2672240802675587,-1.0999999999999992,299,2,0
A6NIJ9,OR6C70,0.6106199622154236,0.6656758785247803,0.4444444444444444,0.8092948717948725,11.399999999999999,312,1,0
A6NIM6,SLC15A5,0.7978507280349731,0.7390320897102356,0.4444444444444444,0.561485319516409,3.799999999999997,579,0,0
A6NJW9,CD8BP,0.9071488976478577,0.9254541397094727,0.375,0.0014285714285714763,15.499999999999998,210,1,0
A6NJZ3,OR6C65,0.6055232286453247,0.6661955118179321,0.375,0.7756410256410262,6.4,312,1,0
A6NK97,SLC22A20,0.7683019638061523,0.7783661484718323,0.375,0.41405405405405465,7.799999999999999,555,0,0
A6NKB5,PCNXL2,0.8221797943115234,0.7822856307029724,0.5555555555555556,-0.20379036031820175,-17.29999999999997,2137,0,0
A6NKC4,FCGR1C,0.0,0.0,0.0,0,0,0,2,0
A6NKK0,OR5H1,0.6138136386871338,0.6732639670372009,0.4444444444444444,0.7051118210862621,6.799999999999999,313,1,0
A6NL08,OR6C75,0.582564115524292,0.6552640795707703,0.375,0.7983974358974363,11.5,312,1,0
A6NL26,OR5B21,0.5152513980865479,0.6071749925613403,0.3333333333333333,0.6116504854368932,-0.1000000000000032,309,1,0
A6NL88,SHISA7,0.7750614881515503,0.753243625164032,0.3333333333333333,-0.4288104089219321,25.400000000000016,538,0,0
A6NM03,OR2AG2,0.6147274971008301,0.6813753843307495,0.375,0.7392405063291146,5.8,316,1,0
A6NM11,LRRC37A2,0.8445345163345337,0.808610737323761,0.4444444444444444,-0.6150588235294154,-63.100000000000044,1700,0,0
A6NM45,CLDN24,0.8200636506080627,0.7926357984542847,0.375,0.4445454545454539,-7.600000000000001,220,1,0
A6NM76,OR6C76,0.5896767377853394,0.6548261642456055,0.375,0.6044871794871799,9.6,312,1,0
A6NMB1,SIGLEC16,0.868675708770752,0.9197328686714172,0.375,-0.18565488565488591,14.999999999999996,481,0,0
A6NMS3,OR5K4,0.6331074833869934,0.6872410774230957,0.375,0.642367601246106,5.799999999999999,321,1,0
A6NMS7,LRRC37A,0.8450223207473755,0.8088793158531189,0.4444444444444444,-0.608705882352945,-63.20000000000005,1700,0,0
A6NMU1,OR52A4,0.7286396026611328,0.7314474582672119,0.375,0.9250000000000009,3.900000000000001,304,1,0
A6NMZ5,OR4C45,0.5862164497375488,0.6495993137359619,0.3333333333333333,0.8277777777777791,-2.1000000000000014,306,1,0
A6NND4,OR2AT4,0.6231014728546143,0.6916135549545288,0.375,0.8512500000000008,-2.200000000000003,320,1,0
A6NNN8,SLC38A8,0.784363329410553,0.7608814239501953,0.4444444444444444,0.880459770114943,1.4000000000000004,435,1,0
A7MBM2,DISP2,0.80546635389328,0.782146155834198,0.5,-0.03283369022127039,10.600000000000014,1401,0,0
A8MPY1,GABRR3,0.7961813807487488,0.7914179563522339,0.5,-0.041113490364025916,4.399999999999999,467,1,0
A8MUP6,nan,0.8444620370864868,0.8060306310653687,0.3333333333333333,-0.007849829351535767,-2.099999999999999,293,0,0
A8MVS5,HIDE1,0.8779011964797974,0.8732112646102905,0.3333333333333333,-0.10173913043478269,0.30000000000000027,230,0,0
A8MVW0,FAM171A2,0.8138227462768555,0.7858766317367554,0.375,-0.3046004842615014,3.699999999999994,826,0,0
A8MVW5,HEPACAM2,0.9021210670471191,0.908585786819458,0.375,-0.16298701298701299,-6.300000000000002,462,0,0
A8MVZ5,BTNL10,0.8769391179084778,0.9167088866233826,0.375,-0.18281786941580783,5.699999999999999,291,0,0
A8MWY0,KIAA1324L,0.8456695079803467,0.801740288734436,0.4444444444444444,-0.40398445092322455,-14.100000000000009,1029,0,0
A8MXK1,VSTM5,0.8967363238334656,0.8924582004547119,0.4444444444444444,0.05850000000000003,2.4999999999999982,200,0,0
B0FP48,UPK3BL,0.8450998663902283,0.8001593351364136,0.3333333333333333,0.035361216730038024,2.6000000000000005,263,0,0
B2RN74,OR11H12,0.616378903388977,0.6835956573486328,0.375,0.770552147239264,3.6,326,1,0
B3SHH9,TMEM114,0.822138786315918,0.7766650319099426,0.3333333333333333,0.6654708520179377,-1.6999999999999997,223,0,0
B4DS77,SHISA9,0.8208657503128052,0.7661364674568176,0.375,-0.6398584905660376,11.599999999999994,424,0,0
B6A8C7,TARM1,0.8967975378036499,0.9216136932373047,0.3333333333333333,-0.0014760147601475847,4.399999999999999,271,1,0
B6SEH8,ERVV-1,0.8080902099609375,0.738716721534729,0.3333333333333333,-0.11572327044025216,11.399999999999999,477,0,0
B6SEH9,ERVV-2,0.8156007528305054,0.7484455704689026,0.3333333333333333,-0.1343925233644865,14.600000000000001,535,0,0
B8ZZ34,SHISA8,0.7964332103729248,0.7977405786514282,0.375,-0.5380352644836266,30.6,397,0,0
D3W0D1,KLRF2,0.8745394945144653,0.8627124428749084,0.375,-0.12801932367149768,-3.4,207,1,0
E2RYF6,MUC22,0.5447100400924683,0.550049901008606,0.3333333333333333,-0.3305696559503674,-159.2000000000001,1773,0,0
F2Z333,C1orf233,0.803613007068634,0.804646372795105,0.25,0.20707964601769902,9.299999999999999,226,0,0
F5H4A9,C3orf80,0.7820574641227722,0.7751421928405762,0.25,-0.062348178137651915,-2.8000000000000003,247,0,0
G3V0H7,SLCO1B7,0.7934534549713135,0.7633092403411865,0.375,0.30874999999999997,13.200000000000001,640,1,0
H3BS89,TMEM178B,0.8208505511283875,0.7653766870498657,0.3333333333333333,-0.07244897959183706,16.699999999999996,294,0,0
I3L273,GFY,0.8043622970581055,0.775227963924408,0.375,-0.6818532818532811,-11.5,518,0,0
O00144,FZD9,0.7590895295143127,0.7998847365379333,0.5,0.22385786802030463,11.399999999999999,591,1,0
O00155,GPR25,0.7241243720054626,0.7617457509040833,0.3333333333333333,0.48559556786703667,15.399999999999999,361,2,0
O00206,TLR4,0.8131094574928284,0.8065057396888733,0.5,0.032777115613826006,-12.699999999999998,839,2,0
O00220,TNFRSF10A,0.8427830338478088,0.8281134366989136,0.4444444444444444,-0.24786324786324826,-0.8000000000000038,468,1,0
O00222,GRM8,0.8062788844108582,0.809313178062439,0.375,-0.04900881057268727,11.999999999999998,908,1,0
O00241,SIRPB1,0.8969345092773438,0.9330089092254639,0.4444444444444444,-0.11809045226130667,-4.800000000000001,398,0,0
O00254,F2RL2,0.8123910427093506,0.8031914830207825,0.625,0.6256684491978616,7.099999999999998,374,1,0
O00270,GPR31,0.7547030448913574,0.7850450277328491,0.3333333333333333,0.633542319749217,13.799999999999999,319,1,0
O00322,UPK1A,0.8198612928390503,0.7660317420959473,0.375,0.5267441860465114,-5.600000000000001,258,0,0
O00337,SLC28A1,0.7834957838058472,0.7353672981262207,0.375,0.49922958397534783,2.7999999999999976,649,1,0
O00341,SLC1A7,0.7676094770431519,0.7410820722579956,0.375,0.49535714285714405,-2.100000000000002,560,1,0
O00391,QSOX1,0.8294867873191833,0.798241138458252,0.3333333333333333,-0.19143239625167327,17.1,747,0,0
O00398,P2RY10,0.7869755029678345,0.7799814939498901,0.5,0.5371681415929204,17.6,339,0,0
O00400,SLC33A1,0.7876956462860107,0.7306199073791504,0.375,0.30236794171220355,0.600000000000001,549,1,0
O00421,CCRL2,0.8126727938652039,0.7912558317184448,0.375,0.31162790697674453,2.7999999999999994,344,1,0
O00451,GFRA2,0.8094000816345215,0.7503969669342041,0.4444444444444444,-0.35538793103448235,4.6,464,1,0
O00478,BTN3A3,0.8599495887756348,0.9160078167915344,0.375,-0.2833904109589037,-15.700000000000003,584,0,0
O00481,BTN3A1,0.8499177694320679,0.9195826053619385,0.375,-0.25594541910331364,4.1,513,0,0
O00526,UPK2,0.824932873249054,0.780752420425415,0.3333333333333333,0.6559782608695647,9.1,184,0,0
O00533,CHL1,0.8345655202865601,0.8407773971557617,0.4444444444444444,-0.4757450331125815,-29.899999999999984,1208,1,0
O00548,DLL1,0.8466585278511047,0.8422739505767822,0.4444444444444444,-0.45117565698478534,-11.100000000000005,723,0,0
O00574,CXCR6,0.7760962843894958,0.7754813432693481,0.375,0.5426900584795327,4.199999999999999,342,1,0
O00590,ACKR2,0.7733714580535889,0.8032470941543579,0.5,0.47135416666666724,2.0999999999999996,384,1,0
O00591,GABRP,0.7952010631561279,0.7831708192825317,0.375,0.06431818181818179,-0.49999999999999956,440,1,0
O00592,PODXL,0.8319288492202759,0.8028498888015747,0.4444444444444444,-0.4055555555555551,-15.6,558,0,0
O14493,CLDN4,0.7853015661239624,0.7722909450531006,0.3333333333333333,0.7511961722488039,3.1,209,1,0
O14494,PPAP2A,0.7431506514549255,0.7029520273208618,0.3333333333333333,0.08978873239436606,3.0,284,0,0
O14495,PPAP2B,0.7569128274917603,0.7200279831886292,0.375,0.10385852090032151,14.799999999999997,311,0,0
O14511,NRG2,0.8067619800567627,0.7754489779472351,0.375,-0.6700000000000008,39.00000000000003,850,0,0
O14514,BAI1,0.8540592193603516,0.8522413969039917,0.375,-0.3103535353535346,14.399999999999999,1584,0,0
O14522,PTPRT,0.8718731999397278,0.8566042184829712,0.375,-0.3347675225537814,-6.400000000000004,1441,1,0
O14524,TMEM194A,0.8233432769775391,0.7596917748451233,0.375,0.1376126126126126,-0.5000000000000018,444,0,0
O14525,ASTN1,0.8341975212097168,0.7812650799751282,0.5555555555555556,-0.35138248847926196,-51.499999999999986,1302,0,0
O14581,OR7A17,0.5787014961242676,0.657482385635376,0.375,0.6750809061488678,-1.1000000000000032,309,1,0
O14626,GPR171,0.7771446108818054,0.7493094205856323,0.375,0.49561128526645803,13.6,319,2,0
O14672,ADAM10,0.8302271366119385,0.7887352108955383,0.375,-0.5989304812834215,7.9,748,1,0
O14718,RRH,0.7265543937683105,0.7187581062316895,0.3333333333333333,0.3940652818991099,6.5,337,1,0
O14764,GABRD,0.7785360813140869,0.7899235486984253,0.4444444444444444,0.0435840707964602,4.899999999999999,452,1,0
O14786,NRP1,0.856491208076477,0.8617353439331055,0.3333333333333333,-0.4410617551462606,-20.599999999999994,923,1,0
O14788,TNFSF11,0.8559065461158752,0.8140266537666321,0.3333333333333333,-0.39558359621451167,1.3999999999999995,317,1,0
O14798,TNFRSF10C,0.7927439212799072,0.8106353282928467,0.3333333333333333,-0.2864864864864864,-12.5,259,1,0
O14804,TAAR5,0.8054836988449097,0.7868504524230957,0.4444444444444444,0.7189910979228494,5.800000000000001,337,1,0
O14817,TSPAN4,0.7591712474822998,0.7731121778488159,0.3333333333333333,0.7205882352941181,-0.7999999999999999,238,1,0
O14836,TNFRSF13B,0.835731565952301,0.8298355340957642,0.375,-0.44505119453924885,6.6999999999999975,293,1,0
O14842,FFAR1,0.7607970833778381,0.7655231952667236,0.375,0.6436666666666673,14.5,300,1,0
O14843,FFAR3,0.7892312407493591,0.8084242343902588,0.375,0.3947976878612715,2.9,346,1,0
O14894,TM4SF5,0.7945252656936646,0.7399340271949768,0.25,0.5563451776649738,6.299999999999999,197,0,0
O14917,PCDH17,0.8188220858573914,0.815406084060669,0.5,-0.4285591026747193,-41.69999999999998,1159,2,0
O14931,NCR3,0.8711494207382202,0.9055271148681641,0.25,0.17313432835820905,5.7,201,1,0
O14944,EREG,0.8599609136581421,0.8371914625167847,0.5,0.07159763313609474,1.4000000000000004,169,0,0
O15031,PLXNB2,0.8512312173843384,0.8324107527732849,0.4444444444444444,-0.3090859630032638,-27.49999999999998,1838,1,0
O15118,NPC1,0.8006667494773865,0.752643883228302,0.375,0.22222222222222235,-27.09999999999998,1278,0,0
O15146,MUSK,0.8354113101959229,0.8415675163269043,0.375,-0.07514384349827387,0.7000000000000002,869,3,0
O15165,LDLRAD4,0.7986546754837036,0.7487366795539856,0.3333333333333333,-0.5019607843137255,-5.100000000000003,306,1,0
O15197,EPHB6,0.8296167850494385,0.8345674276351929,0.5,-0.19618021547502376,-9.90000000000001,1021,2,0
O15218,GPR182,0.8020545244216919,0.8080717325210571,0.5,0.46287128712871406,2.0,404,2,0
O15244,SLC22A2,0.7662501335144043,0.7686774134635925,0.375,0.3138738738738739,7.799999999999999,555,0,0
O15245,SLC22A1,0.7703172564506531,0.7789033651351929,0.375,0.4518050541516251,-1.3000000000000007,554,0,0
O15303,GRM6,0.8088633418083191,0.8285776376724243,0.4444444444444444,0.011972633979475442,7.299999999999997,877,1,0
O15321,TM9SF1,0.7957178354263306,0.7135152816772461,0.5,0.2559405940594057,-1.0000000000000036,606,0,0
O15354,GPR37,0.8140465617179871,0.804576575756073,0.375,0.060358890701467806,12.699999999999998,613,1,0
O15374,SLC16A4,0.7718108892440796,0.7420046329498291,0.5,0.420533880903491,3.899999999999999,487,1,0
O15375,SLC16A5,0.7832177877426147,0.7832404971122742,0.375,0.5370297029702988,6.9,505,1,0
O15389,SIGLEC5,0.8505547046661377,0.9059310555458069,0.4444444444444444,-0.31996370235934707,0.7000000000000006,551,0,0
O15394,NCAM2,0.8421475887298584,0.8527308702468872,0.3333333333333333,-0.41182795698924696,-18.500000000000007,837,1,0
O15399,GRIN2D,0.8217201232910156,0.8332184553146362,0.375,-0.19229041916167663,15.5,1336,1,0
O15403,SLC16A6,0.7690739035606384,0.7326206564903259,0.3333333333333333,0.49942638623327057,2.9999999999999973,523,1,0
O15431,SLC31A1,0.7434991598129272,0.6759346127510071,0.4444444444444444,0.2826315789473683,0.30000000000000054,190,0,0
O15438,ABCC3,0.7916061282157898,0.7584132552146912,0.375,0.2332678454485935,-0.8999999999999972,1527,1,0
O15439,ABCC4,0.7462561130523682,0.724690854549408,0.4444444444444444,0.0787169811320758,9.799999999999994,1325,0,0
O15440,ABCC5,0.7744223475456238,0.7367540001869202,0.375,-0.016353514265832043,20.70000000000004,1437,0,0
O15455,TLR3,0.7864877581596375,0.7689924240112305,0.5,-0.1045353982300889,-1.600000000000004,904,2,0
O15529,GPR42,0.7886042594909668,0.8082679510116577,0.375,0.41242774566473966,2.9,346,2,0
O15547,P2RX6,0.8392691612243652,0.786680281162262,0.375,-0.1530612244897961,2.1,441,0,0
O15551,CLDN3,0.7917178869247437,0.7714827656745911,0.4444444444444444,0.605,3,220,1,0
O15552,FFAR2,0.7872886657714844,0.7867207527160645,0.375,0.49,11.399999999999999,330,1,0
O42043,ERVK-18,0.833842396736145,0.7737221717834473,0.375,-0.1614285714285715,3.6999999999999993,560,0,0
O43155,FLRT2,0.840151309967041,0.8225595951080322,0.4444444444444444,-0.19348484848484857,4.199999999999999,660,0,0
O43157,PLXNB1,0.8371323347091675,0.8203959465026855,0.375,-0.21067915690866412,-59.89999999999995,2135,1,0
O43184,ADAM12,0.8358489871025085,0.8398618698120117,0.375,-0.3587458745874583,27.1,909,1,0
O43193,MLNR,0.7644283175468445,0.792917788028717,0.375,0.2905339805825243,20.4,412,1,0
O43194,GPR39,0.8148722052574158,0.7757911682128906,0.4444444444444444,0.13002207505518748,17.500000000000004,453,2,0
O43246,SLC7A4,0.7498243451118469,0.7233000993728638,0.375,0.6499212598425209,-1.399999999999999,635,1,0
O43280,TREH,0.78570955991745,0.7681337594985962,0.375,-0.37873070325900465,-11.900000000000004,583,0,0
O43291,SPINT2,0.8196464776992798,0.8042397499084473,0.375,-0.24603174603174602,6.199999999999999,252,0,0
O43300,LRRTM2,0.8275433778762817,0.8150616884231567,0.375,-0.13914728682170538,6.099999999999994,516,0,0
O43306,ADCY6,0.800702691078186,0.7413378953933716,0.4444444444444444,0.028681506849314784,15.000000000000014,1168,0,0
O43315,AQP9,0.7240188717842102,0.6841920018196106,0.25,0.6871186440677969,1.3999999999999986,295,0,0
O43424,GRID2,0.8209534287452698,0.789372444152832,0.4444444444444444,-0.1934458788480636,-14.099999999999998,1007,1,0
O43490,PROM1,0.8051914572715759,0.7403212189674377,0.4444444444444444,-0.015028901734104141,0.699999999999999,865,0,0
O43493,TGOLN2,0.7603050470352173,0.7504991888999939,0.3333333333333333,-1.2164759725400447,-10.199999999999996,437,0,0
O43497,CACNA1G,0.8255889415740967,0.8075856566429138,0.5,-0.12793437105595296,-23.5,2377,1,0
O43506,ADAM20,0.829182505607605,0.8164079189300537,0.375,-0.1271349862258954,-12.099999999999994,726,1,0
O43511,SLC26A4,0.7579324245452881,0.734513521194458,0.4444444444444444,0.3652564102564117,-3.400000000000002,780,0,0
O43556,SGCE,0.8320061564445496,0.76915442943573,0.4444444444444444,-0.3745995423340961,-3.1999999999999993,437,0,0
O43567,RNF13,0.8184282779693604,0.7509289979934692,0.4444444444444444,-0.24199475065616813,-20.1,381,0,0
O43570,CA12,0.783935546875,0.7849416732788086,0.375,-0.21581920903954835,-0.49999999999999967,354,0,0
O43603,GALR2,0.7309899926185608,0.7737877368927002,0.375,0.5315245478036185,20.1,387,1,0
O43613,HCRTR1,0.785840630531311,0.7956105470657349,0.375,0.32258823529411756,15.799999999999999,425,1,0
O43614,HCRTR2,0.7924036979675293,0.7817438840866089,0.375,0.2168918918918919,12.899999999999997,444,1,0
O43653,PSCA,0.8576255440711975,0.8497350811958313,0.375,0.3298245614035087,-2.9,114,0,0
O43657,TSPAN6,0.7828869819641113,0.7599438428878784,0.375,0.3591836734693873,4.299999999999999,245,1,0
O43688,PPAP2C,0.7593865990638733,0.7387707233428955,0.375,0.2277777777777774,5.799999999999997,288,0,0
O43699,SIGLEC6,0.8723948001861572,0.9194956421852112,0.4444444444444444,-0.23377483443708635,-0.6000000000000005,453,0,0
O43749,OR1F1,0.5612890720367432,0.6454313397407532,0.375,0.7868589743589752,2.299999999999998,312,1,0
O43826,SLC37A4,0.7283933758735657,0.6917399168014526,0.5,0.5048951048951049,6.4,429,0,0
O43868,SLC28A2,0.7841116189956665,0.7263394594192505,0.375,0.4907294832826758,5.699999999999999,658,1,0
O43869,OR2T1,0.6502845287322998,0.7089747190475464,0.5,0.6230352303523041,7.9,369,1,0
O43895,XPNPEP2,0.7790715098381042,0.7421228885650635,0.4444444444444444,-0.19866468842729978,-10.600000000000003,674,0,0
O43921,EFNA2,0.834295392036438,0.7984901070594788,0.375,-0.34882629107981233,0.6000000000000001,213,1,0
O43934,MFSD11,0.7543852925300598,0.6852277517318726,0.375,0.5806236080178178,-4.6,449,0,0
O60235,TMPRSS11D,0.8196999430656433,0.8127681612968445,0.375,-0.16244019138755988,5.899999999999997,418,0,0
O60241,BAI2,0.8606422543525696,0.8612220883369446,0.375,-0.21192429022081985,4.9999999999999964,1585,0,0
O60242,BAI3,0.8696403503417969,0.8540557622909546,0.375,-0.28370565045991986,-2.3000000000000096,1522,0,0
O60245,PCDH7,0.7609770894050598,0.7816593647003174,0.4444444444444444,-0.3903648269410662,-31.59999999999998,1069,2,0
O60266,ADCY3,0.7969600558280945,0.7332914471626282,0.375,-0.021241258741258956,-8.700000000000001,1144,0,0
O60279,SUSD5,0.8516684770584106,0.8324108719825745,0.4444444444444444,-0.4012718600953894,-35.49999999999999,629,0,0
O60309,LRRC37A3,0.8416893482208252,0.8134250044822693,0.4444444444444444,-0.592472460220322,-68.50000000000011,1634,0,0
O60330,PCDHGA12,0.7980172634124756,0.8325335383415222,0.5,-0.26469957081545054,-36.29999999999999,932,2,0
O60353,FZD6,0.8495125770568848,0.82225501537323,0.4444444444444444,0.0011331444759204484,8.899999999999995,706,1,0
O60359,CACNG3,0.8155331015586853,0.7470362186431885,0.375,-0.22190476190476188,13.099999999999998,315,1,0
O60391,GRIN3B,0.79302579164505,0.8017159700393677,0.3333333333333333,-0.07583892617449726,23.7,1043,1,0
O60403,OR10H2,0.6278369426727295,0.6989305019378662,0.375,0.8926984126984138,7.1,315,1,0
O60404,OR10H3,0.6567865610122681,0.7149704694747925,0.25,0.8952531645569627,12.499999999999998,316,1,0
O60412,OR7C2,0.5910180807113647,0.6678663492202759,0.375,0.6868338557993735,2.699999999999998,319,1,0
O60431,OR1I1,0.6800199747085571,0.7338167428970337,0.4444444444444444,0.5123943661971835,1.099999999999997,355,1,0
O60449,LY75,0.8589773774147034,0.8312636613845825,0.625,-0.49041811846689853,-16.599999999999966,1722,0,0
O60462,NRP2,0.851544201374054,0.8550704121589661,0.375,-0.46949516648764694,-36.8,931,1,0
O60469,DSCAM,0.8451868295669556,0.8522357940673828,0.4444444444444444,-0.3272862823061628,6.299999999999992,2012,1,0
O60478,GPR137B,0.827384352684021,0.759983479976654,0.4444444444444444,0.27268170426065125,8.300000000000004,399,0,0
O60486,PLXNC1,0.8652796745300293,0.8475789427757263,0.4444444444444444,-0.2661989795918353,7.399999999999993,1568,1,0
O60487,MPZL2,0.8990505933761597,0.895251989364624,0.375,-0.035348837209302306,-0.49999999999999956,215,0,0
O60500,NPHS1,0.8350549936294556,0.8727518916130066,0.3333333333333333,-0.24560838033843652,-30.1,1241,1,0
O60503,ADCY9,0.8017092347145081,0.7519207000732422,0.5,-0.12808573540280874,1.8000000000000007,1353,0,0
O60602,TLR5,0.8207050561904907,0.8097381591796875,0.375,0.025291375291374856,-7.500000000000002,858,2,0
O60603,TLR2,0.8106556534767151,0.8003557920455933,0.375,-0.11454081632653079,-7.000000000000005,784,2,0
O60609,GFRA3,0.8127776384353638,0.7659734487533569,0.4444444444444444,-0.1272500000000003,5.299999999999997,400,1,0
O60635,TSPAN1,0.794026255607605,0.775119960308075,0.375,0.6751037344398348,-3.8,241,1,0
O60636,TSPAN2,0.7629584074020386,0.7495424747467041,0.375,0.5778280542986418,2.2999999999999994,221,1,0
O60637,TSPAN3,0.7816170454025269,0.7612606883049011,0.375,0.5201581027667974,-4.5,253,1,0
O60669,SLC16A7,0.7317761778831482,0.7098793983459473,0.4444444444444444,0.36297071129707104,15.5,478,1,0
O60706,ABCC9,0.7793530225753784,0.7175496220588684,0.5,0.12123950936087874,1.4000000000000066,1549,0,0
O60755,GALR3,0.6731439232826233,0.7284400463104248,0.375,0.3451086956521754,23.8,368,1,0
O60779,SLC19A2,0.8091069459915161,0.7526763677597046,0.375,0.6197183098591555,-0.7000000000000002,497,1,0
O60883,GPR37L1,0.8350876569747925,0.8054856657981873,0.4444444444444444,0.22182952182952165,1.6999999999999997,481,1,0
O60895,RAMP2,0.8075220584869385,0.745621919631958,0.3333333333333333,-0.011428571428571677,-4.5,175,1,0
O60896,RAMP3,0.8221202492713928,0.7868400812149048,0.3333333333333333,0.3013513513513512,-2.8,148,1,0
O60931,CTNS,0.7592400908470154,0.7279015183448792,0.5,0.5316076294277932,7.4,367,0,0
O60939,SCN2B,0.8897655010223389,0.9124704599380493,0.3333333333333333,-0.3632558139534885,-2.5,215,1,0
O71037,ERVK-19,0.813974142074585,0.7467396259307861,0.375,-0.2746781115879825,19.9,699,0,0
O75015,FCGR3B,0.888768196105957,0.9241153001785278,0.375,-0.09141630901287548,-2.200000000000002,233,2,0
O75019,LILRA1,0.8689972162246704,0.9069700241088867,0.4444444444444444,-0.17525562372188142,3.3999999999999972,489,2,0
O75022,LILRB3,0.852224588394165,0.8959987759590149,0.3333333333333333,-0.5193343898573688,-3.7000000000000037,631,2,0
