job,run,gene,uniprot_id,antigen_len,PAE_IF,epitope_reprod,hit,prediction_id
flagship,screen-flagship-Q9H342,OR51J1,Q9H342,31,3.654,0.53,0,sab_pred_6bIfCcGiEFUaZLjORGaT
anchor2,screen-anchor2-P47775,GPR12,P47775,48,3.678,0.513,0,sab_pred_ZKnmNGfkKKVfvKna8Mg2
anchor2,screen-anchor2-P21730,C5AR1,P21730,37,3.686,0.584,1,sab_pred_CdIHfywcIZgCbooBimSJ
flagship,screen-flagship-P04234,CD3D,P04234,84,3.705,0.246,0,sab_pred_LRYzFTecfHZbr4Bvj718
flagship,screen-flagship-P49683,PRLHR,P49683,62,3.724,0.448,0,sab_pred_CVSFdqNoTJ2eNwt27gsb
anchor2,screen-anchor2-Q6W5P4,NPSR1,Q6W5P4,52,3.726,0.478,0,sab_pred_B2cGWIWpbqEgY8jMcbur
flagship,screen-flagship-P41597,CCR2,P41597,42,3.741,0.413,0,sab_pred_uCFoPvLB8cKRW57WDBzf
flagship,screen-flagship-Q9NYW3,TAS2R7,Q9NYW3,38,3.743,0.38,0,sab_pred_mu4CaFoukzbDz27cPWOR
anchor2,screen-anchor2-Q8NFJ5,GPRC5A,Q8NFJ5,33,3.744,0.853,1,sab_pred_mw6xtpPq5krVfVwDzLul
flagship,screen-flagship-B2RN74,OR11H12,B2RN74,44,3.781,0.61,1,sab_pred_y26jjPSZlo8ybJ6ZpaCe
flagship,screen-flagship-Q9Y6W8,ICOS,Q9Y6W8,120,3.797,0.763,1,sab_pred_puVwFEiV6n0cayPT9kZs
flagship,screen-flagship-Q8NG75,OR5T1,Q8NG75,37,3.802,0.508,0,sab_pred_4SF9lYFeESFGBuZTCfh1
anchor2,screen-anchor2-O00421,CCRL2,O00421,43,3.887,0.513,0,sab_pred_9zWtaTYcFCy2YVLkJkel
anchor2,screen-anchor2-Q8NGA4,GPR32P1,Q8NGA4,46,3.892,0.633,1,sab_pred_Ql0bjHMwIyO8q7ufcwdd
flagship,screen-flagship-P04000,OPN1LW,P04000,52,3.897,0.421,0,sab_pred_pCR32B7zRO2aF8goGYcl
flagship,screen-flagship-O15218,GPR182,O15218,57,3.897,0.278,0,sab_pred_l5hFi2beekyUUBAQtHru
anchor2,screen-anchor2-Q9NS64,RPRM,Q9NS64,55,3.903,0.421,0,sab_pred_Qc31F0TDMZWUkMNdSeoL
flagship,screen-flagship-P11836,MS4A1,P11836,47,3.907,0.764,1,sab_pred_RQF57vqnGAeZWtYeJgUI
flagship,screen-flagship-P41231,P2RY2,P41231,32,3.913,0.54,0,sab_pred_H961NgfpOT7QCGCjjyI7
flagship,screen-flagship-P41968,MC3R,P41968,37,3.917,0.518,0,sab_pred_0lLpjD8n815W1aMr5NUv
flagship,screen-flagship-Q96RN1,SLC26A8,Q96RN1,35,3.944,0.531,0,sab_pred_1hk5AovMbeZy1i2Pp6W8
flagship,screen-flagship-Q7Z5H5,VN1R4,Q7Z5H5,38,3.971,0.367,0,sab_pred_MtQeep2uyzSAh0gKUtzs
anchor2,screen-anchor2-Q9Y5Y3,GPR45,Q9Y5Y3,38,3.975,0.537,0,sab_pred_gz3sNsHu5Ht34mNNi8PE
flagship,screen-flagship-P43005,SLC1A1,P43005,91,4.007,0.213,0,sab_pred_MiFNWyXqlqBRLWvILeKb
flagship,screen-flagship-Q8NH92,OR1S1,Q8NH92,38,4.026,0.68,1,sab_pred_CWSVcyUybj4lPVoqpW0x
flagship,screen-flagship-P25101,EDNRA,P25101,60,4.031,0.45,0,sab_pred_HJw93dLNWA6uW89SOD1F
flagship,screen-flagship-Q01814,ATP2B2,Q01814,37,4.045,0.634,1,sab_pred_nJ67HeV4bdffOvTCq3Cj
anchor2,screen-anchor2-O43826,SLC37A4,O43826,38,4.053,0.629,1,sab_pred_GzYNEhr5o6JdU4w1eoXn
flagship,screen-flagship-Q8NGC1,OR11G2,Q8NGC1,62,4.096,0.248,0,sab_pred_fE4jhwI7O90MTesNLyn7
flagship,screen-flagship-Q96R69,OR4F4,Q96R69,37,4.098,0.593,1,sab_pred_TpkwuOZHhxDmtp1xuKB7
flagship,screen-flagship-A8MVS5,HIDE1,A8MVS5,98,4.155,0.263,0,sab_pred_4kvijT4KQeTd8rDjLBgV
flagship,screen-flagship-Q969V1,MCHR2,Q969V1,39,4.172,0.396,0,sab_pred_qLEqK0I5zmXIywMsiCHM
flagship,screen-flagship-Q3ZCQ3,FAM174B,Q3ZCQ3,64,4.173,0.515,0,sab_pred_SK4nOKwWQYLlbEFo5GLo
anchor2,screen-anchor2-Q9H1D0,TRPV6,Q9H1D0,37,4.175,0.854,1,sab_pred_6RUNz8Sw5ydSCJ00gBtr
flagship,screen-flagship-P32418,SLC8A1,P32418,39,4.181,0.454,0,sab_pred_7LSpOlm1JJK0c25jkM4I
flagship,screen-flagship-Q9UKL4,GJD2,Q9UKL4,33,4.21,0.565,1,sab_pred_mSUPsF2gPFC3QMQ0OLVi
flagship,screen-flagship-Q99679,GPR21,Q99679,32,4.224,0.51,0,sab_pred_dJrh4wUsec3YMdZJj1yn
anchor2,screen-anchor2-Q8IUW5,RELL1,Q8IUW5,34,4.25,0.964,1,sab_pred_IEWstZVrXjFW7wR3qXgD
flagship,screen-flagship-Q8NGJ3,OR52E1,Q8NGJ3,36,4.292,0.428,0,sab_pred_6cB2w4axCMSynziJAXbN
flagship,screen-flagship-Q9GZQ4,NMUR2,Q9GZQ4,43,4.3,0.656,1,sab_pred_MBidoXIrzZ2glSRYrdkJ
flagship,screen-flagship-Q6YBV0,SLC36A4,Q6YBV0,86,4.334,0.56,1,sab_pred_7CqLxJ1wlY5KTys8oxJG
flagship,screen-flagship-Q8TDM5,SPACA4,Q8TDM5,78,4.364,0.509,0,sab_pred_8jFMPXGtr7LUqHoJgf9Z
flagship,screen-flagship-Q7RTM1,OTOP1,Q7RTM1,41,4.402,0.529,0,sab_pred_j3iPGsJaMrSAYHK4whqP
flagship,screen-flagship-P13945,ADRB3,P13945,39,4.467,0.672,1,sab_pred_wABj2KE482CNNQI8ULoE
flagship,screen-flagship-A6NM76,OR6C76,A6NM76,32,4.468,0.466,0,sab_pred_AVo8TmN3Msztj8Yii180
flagship,screen-flagship-P08588,ADRB1,P08588,57,4.471,0.403,0,sab_pred_vPCTmAPyqbGBT1mdXvLT
flagship,screen-flagship-Q9BS91,SLC35A5,Q9BS91,60,4.475,0.371,0,sab_pred_nRq4NWyTmsMjNDDWuqja
flagship,screen-flagship-O95858,TSPAN15,O95858,121,4.503,0.611,1,sab_pred_wMJvAQwKGF3u6abqh6JF
anchor2,screen-anchor2-Q92887,ABCC2,Q92887,41,4.529,0.387,0,sab_pred_xESP5vrdAKhoTzVhXhzi
flagship,screen-flagship-O95452,GJB6,O95452,38,4.533,0.203,0,sab_pred_XzKuv5qvFLtlwzxvOsn4
flagship,screen-flagship-Q8TDB8,SLC2A14,Q8TDB8,38,4.555,0.678,1,sab_pred_6CGeqlbWFWpf8hLTuiLO
flagship,screen-flagship-P41146,OPRL1,P41146,48,4.555,0.48,0,sab_pred_BAbAep6wJm1uRq1FpaXA
flagship,screen-flagship-P51684,CCR6,P51684,47,4.559,0.371,0,sab_pred_khihuK5bCB7mJgLZnhOK
flagship,screen-flagship-Q96P65,QRFPR,Q96P65,46,4.577,0.488,0,sab_pred_3xHj2HTHWyO8wCHIwvok
anchor2,screen-anchor2-P41968,MC3R,P41968,37,4.585,0.5,0,sab_pred_qVGPSnLtnIynsbJZaenS
flagship,screen-flagship-P47900,P2RY1,P47900,51,4.585,0.31,0,sab_pred_vEGV2ovBuAcdVkVyxhKy
flagship,screen-flagship-Q9UNW8,GPR132,Q9UNW8,45,4.596,0.411,0,sab_pred_F5NQnn3J8ovQpPafmbkA
flagship,screen-flagship-P25106,ACKR3,P25106,40,4.601,0.413,0,sab_pred_glDeiAI7dUsPgFJyZwah
flagship,screen-flagship-Q8TCT9,HM13,Q8TCT9,42,4.62,0.622,1,sab_pred_3M1zBDR7WpYXJib8WmJ7
flagship,screen-flagship-Q86WB7,UNC93A,Q86WB7,42,4.63,0.597,1,sab_pred_UTW95MIAbX5Kp4sHQce9
flagship,screen-flagship-Q8WWX8,SLC5A11,Q8WWX8,46,4.651,0.611,1,sab_pred_t7HXiuN24QVXzAmuFmHM
flagship,screen-flagship-P46091,GPR1,P46091,41,4.656,0.335,0,sab_pred_hyjSd73GsAyQEL8ey53z
flagship,screen-flagship-A6NFC5,TMEM235,A6NFC5,67,4.664,0.352,0,sab_pred_IgttFLxIDb7Rjdz9jcbz
flagship,screen-flagship-Q8NGM1,OR4C15,Q8NGM1,37,4.669,0.641,1,sab_pred_Nu75HH1rwReJrNfD28Xw
flagship,screen-flagship-Q96CE8,TM4SF18,Q96CE8,43,4.677,0.687,1,sab_pred_kg87MEKMdmGJ3YijA0Cl
flagship,screen-flagship-Q9NYW1,TAS2R9,Q9NYW1,34,4.682,0.59,1,sab_pred_166k8eXHYfwinpRa6kST
flagship,screen-flagship-Q8NG84,OR2AK2,Q8NG84,40,4.691,0.502,0,sab_pred_zXbxksF35s3K48rdK6Jx
flagship,screen-flagship-O14494,PPAP2A,O14494,49,4.691,0.552,1,sab_pred_vEEwfzmKxOx8ZcXFy0t3
flagship,screen-flagship-B3SHH9,TMEM114,B3SHH9,78,4.713,0.481,0,sab_pred_J3cMsl1cgnP3nNTNg1ef
flagship,screen-flagship-O00155,GPR25,O00155,39,4.722,0.495,0,sab_pred_45gGnwuylJtNe6wwd6Pr
flagship,screen-flagship-O43614,HCRTR2,O43614,54,4.74,0.457,0,sab_pred_jQMnuFrUtOmOzN9KeY3C
flagship,screen-flagship-Q8NH19,OR10AG1,Q8NH19,37,4.751,0.39,0,sab_pred_HRAk77Rph5dz8HX4NnQX
flagship,screen-flagship-P21439,ABCB4,P21439,45,4.818,0.393,0,sab_pred_8GgzaCNyUPepXKAUwOO6
flagship,screen-flagship-Q9BPV8,P2RY13,Q9BPV8,49,4.833,0.651,1,sab_pred_Y6UNfrYBC3zv22SFwsm8
flagship,screen-flagship-Q8NBM4,UBAC2,Q8NBM4,56,4.833,0.403,0,sab_pred_pDXynNHQERSznvyD3S2g
flagship,screen-flagship-Q8NGV5,OR13D1,Q8NGV5,57,4.854,0.429,0,sab_pred_jQJbXsMTMcYbpog5O3Ci
flagship,screen-flagship-Q15758,SLC1A5,Q15758,71,4.863,0.761,1,sab_pred_TLlCLIBzujncNIZEFyyV
anchor2,screen-anchor2-P03999,OPN1SW,P03999,30,4.866,0.608,1,sab_pred_Lx1tKvHM6yU35eqeNW33
flagship,screen-flagship-Q9H1C0,LPAR5,Q9H1C0,30,4.872,0.708,1,sab_pred_nXPJWD5yDLVB0elHfZY6
flagship,screen-flagship-P46095,GPR6,P46095,74,4.883,0.369,0,sab_pred_WeAZUo84QmQqnRV6Yg79
flagship,screen-flagship-P35414,APLNR,P35414,34,4.89,0.423,0,sab_pred_eeCdBQuGjx2LPP3ELF7P
flagship,screen-flagship-P48146,NPBWR2,P48146,45,4.905,0.568,1,sab_pred_mbVSJbkFgr0HmGvl10jp
flagship,screen-flagship-Q8NGJ6,OR51A4,Q8NGJ6,36,4.929,0.632,1,sab_pred_L8qn2tiauzcjDWTCVTw4
flagship,screen-flagship-Q92673,SORL1,Q92673,56,4.932,0.3,0,sab_pred_w2hB0kmDb4FyOu7bHZWO
flagship,screen-flagship-P31639,SLC5A2,P31639,58,4.943,0.521,0,sab_pred_YiuuKQzPA3XPWpW7ltRe
flagship,screen-flagship-Q2M3M2,SLC5A9,Q2M3M2,45,4.982,0.386,0,sab_pred_yv1pSaRb4QIFGKPtq0sz
flagship,screen-flagship-Q6UX27,VSTM1,Q6UX27,119,4.983,0.513,0,sab_pred_8hSERtt4pjMrFdkdNpMd
flagship,screen-flagship-Q9H2W1,MS4A6A,Q9H2W1,48,4.987,0.406,0,sab_pred_RLaBdmrqVDykTAHcz49x
flagship,screen-flagship-Q5VXU1,NKAIN2,Q5VXU1,70,5.028,0.449,0,sab_pred_2nbJ194KRGemPLvQiNEh
anchor2,screen-anchor2-Q9NTQ9,GJB4,Q9NTQ9,33,5.033,0.528,0,sab_pred_L8z7RNMfwzhxhfaPYPT8
flagship,screen-flagship-P32238,CCKAR,P32238,41,5.034,0.545,0,sab_pred_SEXraMg2PipdBPbwAzEe
anchor2,screen-anchor2-O95342,ABCB11,O95342,64,5.047,0.793,1,sab_pred_bvcctPvgGVTGYKji96WU
flagship,screen-flagship-Q86XT9,TMEM219,Q86XT9,166,5.091,0.535,0,sab_pred_agoKAKCYXzRf7V8BlIg3
flagship,screen-flagship-Q9NTQ9,GJB4,Q9NTQ9,33,5.096,0.657,1,sab_pred_lXL2zsPIkCWZnIncqadl
flagship,screen-flagship-A6NIJ9,OR6C70,A6NIJ9,32,5.118,0.563,1,sab_pred_Oy8bblxKHFlgIHErMQX8
flagship,screen-flagship-Q8TCW9,PROKR1,Q8TCW9,62,5.12,0.332,0,sab_pred_T4nr3V34dtStAGh2QX58
flagship,screen-flagship-P21453,S1PR1,P21453,46,5.123,0.533,0,sab_pred_zFaDjXFH79NhRKo1KJ0l
flagship,screen-flagship-Q86SU0,ILDR1,Q86SU0,144,5.139,0.566,1,sab_pred_ShVpwqKgBmK4supJezLA
flagship,screen-flagship-Q8NEA5,C19orf18,Q8NEA5,71,5.142,0.26,0,sab_pred_1jLOR6HNIPEsvOICVwyu
flagship,screen-flagship-Q9GZM6,OR8D2,Q9GZM6,37,5.17,0.405,0,sab_pred_PcgPqMys6dlkHijMQQka
flagship,screen-flagship-P49768,PSEN1,P49768,108,5.172,0.391,0,sab_pred_mmA95BiJ9PlgUIx9Cdkn
flagship,screen-flagship-Q8NGU1,OR9A1P,Q8NGU1,35,5.173,0.495,0,sab_pred_R7skW59lsKcIzkt9zWSa
flagship,screen-flagship-Q8NGY5,OR6N1,Q8NGY5,37,5.196,0.507,0,sab_pred_dwLo0YGHnCBCpuznG58X
flagship,screen-flagship-Q6P9G4,TMEM154,Q6P9G4,53,5.233,0.437,0,sab_pred_rRQSfT63d5vfRulTLHcx
flagship,screen-flagship-Q99835,SMO,Q99835,202,5.243,0.835,1,sab_pred_2XpcezKkliiZiUXC2Fvl
anchor2,screen-anchor2-Q8NGX9,OR6P1,Q8NGX9,37,5.252,0.489,0,sab_pred_5VCu3glC9eYjW8wzHV3A
flagship,screen-flagship-Q9UF02,CACNG5,Q9UF02,79,5.264,0.348,0,sab_pred_M8GO2TbgnvTOAABaNpIS
flagship,screen-flagship-Q7Z6A9,BTLA,Q7Z6A9,127,5.296,0.363,0,sab_pred_qKd0lBpC40Zw8kaukMQX
flagship,screen-flagship-Q8NGL2,OR5L1,Q8NGL2,36,5.301,0.532,0,sab_pred_ne8U0B84yO7XgfnvjT0K
flagship,screen-flagship-P14416,DRD2,P14416,37,5.33,0.692,1,sab_pred_UVNunRcdmXMgiYjtxZHH
flagship,screen-flagship-P59541,TAS2R30,P59541,31,5.338,0.663,1,sab_pred_4IEQM4L7ASobIJHkDN6m
flagship,screen-flagship-Q9Y2T5,GPR52,Q9Y2T5,44,5.346,0.461,0,sab_pred_B3eRMrYjjXSXlFYPwCHi
flagship,screen-flagship-O14804,TAAR5,O14804,34,5.381,0.4,0,sab_pred_VZXMUmob3HJCE63ez4ho
flagship,screen-flagship-Q9H209,OR10A4,Q9H209,37,5.381,0.536,0,sab_pred_lE5yE0zFWmM3y4UPB6sD
flagship,screen-flagship-P23510,TNFSF4,P23510,133,5.383,0.747,1,sab_pred_g76di2wonmYx9iFMoHcM
flagship,screen-flagship-Q9NUM3,SLC39A9,Q9NUM3,50,5.395,0.471,0,sab_pred_nRFhCHi38jhbRzyZkxjJ
flagship,screen-flagship-Q8N468,MFSD4,Q8N468,65,5.411,0.193,0,sab_pred_tpfEKctSaDn3C8czAHcr
anchor2,screen-anchor2-Q6PXP3,SLC2A7,Q6PXP3,36,5.424,0.504,0,sab_pred_UKU7sXID91RMVvUhiIBi
flagship,screen-flagship-Q16602,CALCRL,Q16602,117,5.428,0.278,0,sab_pred_e2t5mYOmsrLRoXCkpxG8
flagship,screen-flagship-Q8N6P7,IL22RA1,Q8N6P7,213,5.428,0.689,1,sab_pred_f52Wz0Oy1Et2PQPOgUkg
anchor2,screen-anchor2-O43511,SLC26A4,O43511,35,5.464,0.357,0,sab_pred_mVQGnj1VjTOtkqO0Ttty
flagship,screen-flagship-Q8NGF3,OR51D1,Q8NGF3,38,5.52,0.472,0,sab_pred_UDlFrBdIxVwsDzPkLklR
flagship,screen-flagship-Q8NGX6,OR10R2,Q8NGX6,45,5.524,0.6,1,sab_pred_ZQSfztsmdqoSl3mvPM6N
flagship,screen-flagship-O95866,G6B,O95866,125,5.547,0.658,1,sab_pred_YaKAWyNO1BPcKRWfplLt
anchor2,screen-anchor2-A6NMS3,OR5K4,A6NMS3,45,5.559,0.374,0,sab_pred_DhLybTLxw6WqP1AP3xzK
flagship,screen-flagship-Q9NYX4,CALY,Q9NYX4,87,5.562,0.339,0,sab_pred_MNGnwX6eaIQ7mi3CDNmw
flagship,screen-flagship-Q5VYJ5,MALRD1,Q5VYJ5,59,5.575,0.332,0,sab_pred_gUMkqWRtQiFXRexVng16
flagship,screen-flagship-Q9HA72,CALHM2,Q9HA72,47,5.599,0.52,0,sab_pred_Y1EIZolYQ3pf6GQMj1wz
flagship,screen-flagship-P31358,CD52,P31358,37,5.603,0.507,0,sab_pred_S9ms8UA8k1R1wywvCddD
flagship,screen-flagship-Q13286,CLN3,Q13286,74,5.609,0.363,0,sab_pred_MwHmNhzq5OyyAeXF0IHR
flagship,screen-flagship-P37173,TGFBR2,P37173,144,5.65,0.649,1,sab_pred_4HGcxgjFRxCN4AE4DwnS
flagship,screen-flagship-Q15760,GPR19,Q15760,69,5.675,0.359,0,sab_pred_r9NfHjSeepsNdC1mEusH
flagship,screen-flagship-Q6GV28,TMEM225,Q6GV28,43,5.676,0.666,1,sab_pred_VzkECJdFrW5ZDlynPRq0
flagship,screen-flagship-O95622,ADCY5,O95622,53,5.686,0.432,0,sab_pred_zm5v55EwvKhjtcYSQF4T
flagship,screen-flagship-P49281,SLC11A2,P49281,38,5.688,0.644,1,sab_pred_DCf1WZr36SwJ1ZV9rrMR
anchor2,screen-anchor2-Q8TDM5,SPACA4,Q8TDM5,78,5.706,0.897,1,sab_pred_moPYOq9Mm4wAfwuCLZsL
anchor2,screen-anchor2-P32239,CCKBR,P32239,55,5.712,0.391,0,sab_pred_NitPK8pvemEIAL1cqcqC
